City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
215,Cabo San Lucas,MX,22.8909,-109.9124,57.0,59,99,3.0,overcast clouds
216,Lebu,CL,-37.6167,-73.65,54.46,91,4,14.27,clear sky
217,Manado,ID,1.487,124.8455,77.0,88,75,5.82,moderate rain
218,Dariba,IN,24.95,74.1333,71.6,46,0,2.24,haze
219,Tasiilaq,GL,65.6145,-37.6368,23.0,45,9,17.22,clear sky
220,Sebinkarahisar,TR,40.2883,38.4236,40.75,65,29,1.57,scattered clouds
221,Broome,US,42.2506,-75.833,28.0,86,90,13.87,overcast clouds
222,Santa Rosa,PH,14.3122,121.1114,84.2,70,20,9.17,few clouds
223,Moncao,PT,42.0789,-8.4808,46.0,69,20,6.93,fog
224,Matagami,CA,49.7502,-77.6328,21.2,100,90,11.41,overcast clouds
225,Kaitangata,NZ,-46.2817,169.8464,57.78,98,100,1.43,overcast clouds
226,Kutum,SD,14.2,24.6667,81.21,14,0,15.88,clear sky
227,Urengoy,RU,65.9667,78.3667,-16.24,86,41,11.54,scattered clouds
228,Khilok,RU,51.3674,110.4676,-16.35,84,100,8.16,overcast clouds
229,Yerkoy,TR,39.6381,34.4672,50.79,65,84,1.61,broken clouds
230,Victoria,HK,22.2855,114.1577,63.0,74,100,1.99,overcast clouds
231,Dingle,PH,10.9995,122.6711,77.52,86,81,7.23,broken clouds
232,Ust-Ilimsk,RU,58.0006,102.6619,-11.7,88,100,6.64,overcast clouds
233,Raga,SS,8.4596,25.678,93.45,13,0,9.24,clear sky
234,Nishihara,JP,26.1842,127.7558,62.6,55,75,5.82,broken clouds
235,Buguruslan,RU,53.6554,52.442,8.92,91,100,7.54,overcast clouds
236,Carutapera,BR,-1.195,-46.02,79.03,81,45,6.17,scattered clouds
237,Morondava,MG,-20.2833,44.2833,85.95,66,34,9.33,scattered clouds
238,Cao Bang,VN,22.6667,106.25,60.84,50,68,4.56,broken clouds
239,Katsuura,JP,35.1333,140.3,44.01,69,100,1.01,overcast clouds
240,Sibolga,ID,1.7427,98.7792,81.68,77,100,1.77,heavy intensity rain
241,Batticaloa,LK,7.7102,81.6924,82.29,76,68,7.9,broken clouds
242,Novobirilyussy,RU,56.9514,90.6661,-15.5,88,95,2.75,overcast clouds
243,Palana,RU,59.1167,159.9667,-8.07,92,14,4.34,few clouds
244,Egvekinot,RU,66.3167,-179.1667,-19.25,88,72,4.21,broken clouds
245,Orocue,CO,4.7912,-71.3354,71.4,71,76,5.75,broken clouds
246,Kamaishi,JP,39.2667,141.8833,19.4,85,20,2.24,few clouds
247,Longyearbyen,SJ,78.2186,15.6401,19.4,67,75,14.99,light snow
248,Tona,ES,41.8464,2.2251,37.99,85,0,1.32,clear sky
249,Buraydah,SA,26.326,43.975,64.4,68,75,9.17,broken clouds
250,Catumbela,AO,-12.4314,13.5472,80.6,69,0,9.17,clear sky
251,Novaya Zaimka,RU,56.4857,66.9241,-10.86,88,64,8.05,broken clouds
252,Khatanga,RU,71.9667,102.5,-1.35,91,100,24.45,overcast clouds
253,Mingaora,PK,34.7758,72.3625,57.58,37,0,4.63,clear sky
254,Adre,TD,13.4667,22.2,87.53,12,0,20.51,clear sky
255,Luderitz,NA,-26.6481,15.1594,82.4,45,0,11.41,clear sky
256,Tiksi,RU,71.6872,128.8694,-18.63,85,100,33.06,overcast clouds
257,Maniwaki,CA,46.3834,-75.966,23.0,92,91,6.93,overcast clouds
258,Gibara,CU,21.1097,-76.1317,62.6,93,20,1.12,fog
259,San Patricio,US,28.017,-97.5169,64.4,93,75,8.05,broken clouds
260,Boyle,US,37.6334,-84.8666,33.01,96,90,2.37,overcast clouds
261,Novovasylivka,UA,46.8315,35.7536,50.9,68,95,12.12,overcast clouds
262,Kattivakkam,IN,13.2167,80.3167,80.6,88,90,5.82,light intensity drizzle
263,Lugovoy,KZ,42.9472,72.7644,16.2,91,100,1.43,overcast clouds
264,Xintai,CN,35.9006,117.7519,12.81,63,0,17.83,clear sky
265,Baykalsk,RU,51.5058,104.1469,2.8,89,100,8.43,light snow
266,Port Macquarie,AU,-31.4333,152.9167,69.8,94,75,6.93,light rain
267,Miranda,CO,3.2499,-76.2281,68.0,94,75,3.36,broken clouds
268,Okhotsk,RU,59.3833,143.3,-17.77,79,82,13.22,broken clouds
269,Matadi,CD,-5.8167,13.45,81.81,76,89,0.89,overcast clouds
270,San Pedro,PH,14.35,121.0167,84.2,70,20,9.17,few clouds
271,Sorong,ID,-0.8833,131.25,81.81,76,100,1.68,moderate rain
272,Poya,NC,-21.35,165.15,79.77,83,100,6.69,overcast clouds
273,Mayo,US,38.8876,-76.5119,39.2,80,90,8.05,overcast clouds
274,Tolaga Bay,NZ,-38.3667,178.3,62.17,89,20,5.14,few clouds
275,Lazaro Cardenas,MX,17.9583,-102.2,70.74,84,0,4.05,clear sky
276,Srandakan,ID,-7.9386,110.2506,83.28,74,82,5.53,heavy intensity rain
277,Puerto Gaitan,CO,4.3133,-72.0816,71.91,65,88,6.17,overcast clouds
278,Saint George,US,37.1041,-113.5841,37.99,51,1,3.36,clear sky
279,Fortuna,US,40.5982,-124.1573,53.01,57,1,17.22,clear sky
280,Haines Junction,CA,60.7522,-137.5108,8.71,91,100,3.58,light snow
281,Faya,SA,18.3851,42.4509,69.8,45,40,4.56,scattered clouds
282,Pitimbu,BR,-7.4706,-34.8086,75.2,94,20,3.36,few clouds
283,Satoraljaujhely,HU,48.4,21.6667,39.2,86,75,6.93,broken clouds
284,Kyabe,TD,9.4515,18.9449,96.08,11,0,9.84,clear sky
285,Bonthe,SL,7.5264,-12.505,84.04,71,34,3.96,light rain
286,Prainha,BR,-1.8,-53.48,73.26,89,21,2.42,few clouds
287,Sitka,US,57.0531,-135.33,42.8,75,90,13.87,light rain
288,Merauke,ID,-8.4667,140.3333,83.89,78,100,8.3,very heavy rain
289,Ballina,AU,-28.8667,153.5667,75.2,88,75,9.17,light rain
290,Oussouye,SN,12.485,-16.5469,75.2,64,0,4.7,clear sky
291,Trincomalee,LK,8.5711,81.2335,82.02,77,88,8.84,light rain
292,Nichinan,JP,31.6,131.3667,42.8,48,75,19.46,broken clouds
293,Sobolevo,RU,54.4299,31.8996,27.93,95,100,6.87,overcast clouds
294,Lompoc,US,34.6391,-120.4579,44.6,93,1,3.36,clear sky
295,Eyl,SO,7.9803,49.8164,82.35,43,35,22.48,scattered clouds
296,Palu,ID,-0.8917,119.8707,77.22,80,100,0.22,light rain
297,Coihaique,CL,-45.5752,-72.0662,55.4,62,0,5.82,clear sky
298,Palmer,US,42.1584,-72.3287,32.0,97,90,4.7,overcast clouds
299,Bonavista,CA,48.6499,-53.1147,39.0,100,100,3.36,light rain
300,Tuatapere,NZ,-46.1333,167.6833,64.99,93,100,1.99,light rain
301,Diphu,IN,25.8333,93.4333,77.54,46,21,1.83,few clouds
302,Mabaruma,GY,8.2,-59.7833,70.86,99,70,1.74,broken clouds
303,Maumere,ID,-8.6199,122.2111,80.17,83,100,6.31,overcast clouds
304,Tromso,NO,69.6496,18.957,41.0,80,75,23.04,light intensity shower rain
305,Nouakchott,MR,18.0858,-15.9785,71.6,40,100,6.93,overcast clouds
306,Igrim,RU,63.1906,64.4162,-12.93,89,75,6.53,broken clouds
307,Saint-Felix-De-Valois,CA,46.1668,-73.4324,26.6,79,100,4.7,overcast clouds
308,Hovd,MN,48.0056,91.6419,-7.11,73,0,1.14,clear sky
